uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
11724,40,1,40,40,11.5,34.0,21,1.0,35.0
11725,142,0,139,142,11.56338028169014,124.0,48,1.0,82.0
11726,4,0,4,4,6.5,4.0,0,1.0,4.0
11727,5,0,5,5,14.2,5.0,3,1.0,5.0
11728,27,0,27,27,11.518518518518519,26.0,12,1.0,23.0
11729,147,0,145,147,10.843537414965986,120.0,25,1.0,89.0
11730,60,1,60,60,10.25,59.0,23,1.0,49.0
11731,65,0,65,65,11.907692307692308,57.0,26,2.0,55.0
11732,53,0,53,53,10.60377358490566,47.0,20,2.0,39.0
11733,6,0,6,6,9.166666666666666,6.0,5,1.0,4.0
11734,38,0,37,38,10.842105263157896,38.0,13,1.0,35.0
11735,22,2,22,22,11.818181818181818,20.0,13,2.0,20.0
11736,52,0,48,52,11.596153846153847,49.0,15,2.0,31.0
11737,11,0,11,11,10.818181818181818,11.0,7,1.0,11.0
11738,6,0,6,6,11.5,5.0,3,1.0,6.0
11739,37,0,37,37,11.45945945945946,34.0,24,1.0,32.0
11740,66,1,64,66,12.166666666666666,60.0,30,1.0,57.0
11741,51,0,49,51,10.019607843137255,50.0,26,1.0,41.0
11742,8,0,8,8,14.625,8.0,2,1.0,7.0
11743,66,0,65,66,10.56060606060606,63.0,21,1.0,49.0
11744,9,0,9,9,10.444444444444445,9.0,5,1.0,9.0
11745,24,0,24,24,10.166666666666666,23.0,16,1.0,21.0
11746,23,0,23,23,9.0,20.0,7,1.0,19.0
11747,10,0,10,10,12.6,10.0,4,1.0,10.0
11748,24,0,24,24,14.375,23.0,10,1.0,22.0
11749,32,12,32,32,9.75,29.0,4,1.0,20.0
11750,6,0,6,6,15.166666666666666,6.0,3,1.0,6.0
11751,56,5,56,56,10.75,53.0,17,1.0,43.0
11752,40,0,39,40,10.35,38.0,17,2.0,35.0
11753,29,0,28,29,9.10344827586207,27.0,9,1.0,15.0
11754,17,0,17,17,10.529411764705882,16.0,13,2.0,15.0
11755,42,0,41,42,10.571428571428571,39.0,30,2.0,36.0
11756,18,0,18,18,10.88888888888889,18.0,13,1.0,16.0
11757,35,0,35,35,11.742857142857142,34.0,21,1.0,31.0
11758,45,0,44,45,10.2,43.0,8,1.0,36.0
11759,5,0,5,5,11.6,5.0,1,1.0,5.0
11760,7,0,7,7,8.857142857142858,7.0,5,1.0,6.0
11761,10,0,10,10,10.8,10.0,6,1.0,10.0
11762,168,1,167,168,10.732142857142858,111.0,27,2.0,84.0
11763,24,0,24,24,13.458333333333334,23.0,9,1.0,22.0
11764,3,0,3,3,14.333333333333334,3.0,2,1.0,3.0
11765,59,0,59,59,11.203389830508474,55.0,34,1.0,46.0
11766,3,0,3,3,12.666666666666666,3.0,2,3.0,3.0
11767,93,1,92,93,10.881720430107526,70.0,29,1.0,56.0
11768,140,1,135,140,11.121428571428572,120.0,33,1.0,79.0
11769,102,0,97,102,12.186274509803921,89.0,25,1.0,53.0
11770,104,0,98,104,10.528846153846153,99.0,55,1.0,71.0
11771,12,0,12,12,14.0,11.0,5,1.0,11.0
11772,32,0,32,32,12.03125,28.0,11,1.0,23.0
11773,10,0,10,10,9.0,10.0,7,1.0,10.0
11774,2,0,2,2,3.0,2.0,1,1.0,2.0
11775,5,0,5,5,11.2,5.0,1,1.0,4.0
11776,22,0,22,22,10.545454545454545,22.0,10,1.0,21.0
11777,61,0,57,61,9.901639344262295,45.0,20,1.0,39.0
11778,112,0,106,112,10.946428571428571,89.0,20,1.0,63.0
11779,30,0,30,30,11.066666666666666,29.0,14,1.0,27.0
11780,21,0,19,21,12.285714285714286,20.0,12,1.0,18.0
11781,32,0,32,32,12.125,28.0,11,1.0,27.0
11782,47,0,43,47,11.23404255319149,43.0,25,1.0,40.0
11783,35,0,35,35,11.0,33.0,13,1.0,26.0
11784,72,0,71,72,10.75,68.0,39,1.0,42.0
11785,65,1,65,65,11.307692307692308,58.0,27,1.0,49.0
11787,22,0,22,22,10.181818181818182,21.0,14,1.0,20.0
11788,579,0,537,579,11.405872193436961,395.0,81,1.0,195.0
11789,16,0,16,16,10.5625,16.0,11,1.0,16.0
11790,1,0,1,1,10.0,1.0,0,1.0,1.0
11791,23,0,23,23,10.91304347826087,22.0,12,1.0,22.0
11792,48,0,47,48,11.729166666666666,44.0,11,1.0,42.0
11793,21,0,21,21,9.0,20.0,10,1.0,21.0
11794,44,0,44,44,11.204545454545455,37.0,32,4.0,33.0
11795,3,0,3,3,8.666666666666666,3.0,2,1.0,3.0
11796,2,0,2,2,10.5,2.0,1,1.0,2.0
11798,13,0,13,13,8.0,12.0,3,1.0,12.0
11799,11,0,11,11,10.909090909090908,11.0,4,1.0,11.0
11800,12,0,12,12,8.416666666666666,12.0,7,1.0,11.0
11801,34,0,34,34,11.441176470588236,28.0,19,1.0,26.0
11802,29,0,28,29,10.551724137931034,27.0,14,3.0,22.0
11803,7,0,7,7,8.857142857142858,7.0,5,2.0,7.0
11804,10,0,10,10,10.9,10.0,1,1.0,8.0
11805,35,3,35,35,9.885714285714286,33.0,13,2.0,33.0
11806,143,0,141,143,11.202797202797203,119.0,93,1.0,73.0
11807,19,0,19,19,12.947368421052632,18.0,9,1.0,15.0
11808,84,0,81,84,11.142857142857142,76.0,38,1.0,60.0
11809,27,0,27,27,13.185185185185185,25.0,14,1.0,21.0
11810,8,0,8,8,11.625,8.0,5,2.0,8.0
11811,4,0,4,4,9.5,4.0,2,1.0,4.0
11812,70,0,68,70,11.014285714285714,51.0,35,2.0,47.0
11813,10,0,10,10,10.9,9.0,4,1.0,8.0
11814,151,0,123,151,12.019867549668874,120.0,17,2.0,78.0
11816,14,0,14,14,11.785714285714286,14.0,5,1.0,13.0
11817,16,1,16,16,15.25,14.0,9,1.0,14.0
11818,1,0,1,1,18.0,1.0,1,1.0,1.0
11819,24,0,24,24,12.125,22.0,18,1.0,23.0
11820,17,0,16,17,11.117647058823529,17.0,11,1.0,14.0
11821,36,4,36,36,12.333333333333334,33.0,27,1.0,30.0
11822,109,0,106,109,11.20183486238532,97.0,62,1.0,66.0
11823,181,1,178,181,10.751381215469614,149.0,93,1.0,108.0
11824,45,0,45,45,9.311111111111112,44.0,18,1.0,37.0
11825,21,0,20,21,15.19047619047619,21.0,10,1.0,18.0
11826,4,0,4,4,10.75,4.0,2,1.0,4.0
11827,49,0,49,49,11.0,44.0,17,1.0,39.0
11828,185,1,171,185,10.45945945945946,168.0,116,1.0,106.0
11829,46,0,46,46,11.782608695652174,43.0,21,1.0,39.0
11830,78,8,76,78,11.987179487179487,76.0,38,1.0,61.0
11831,1,0,1,1,15.0,1.0,0,1.0,1.0
11832,115,2,105,115,11.008695652173913,97.0,43,1.0,61.0
11833,2,0,2,2,10.0,2.0,2,1.0,2.0
11834,87,3,82,87,11.264367816091953,80.0,25,1.0,57.0
11835,50,0,50,50,11.82,46.0,23,1.0,40.0
11836,26,0,26,26,11.307692307692308,26.0,20,1.0,24.0
11837,17,0,17,17,11.882352941176471,17.0,14,3.0,16.0
11838,8,0,8,8,12.0,8.0,5,1.0,8.0
11839,18,0,18,18,13.555555555555555,18.0,13,1.0,17.0
11840,24,0,22,24,11.916666666666666,24.0,17,2.0,20.0
11841,42,0,41,42,11.261904761904763,35.0,30,6.0,34.0
11842,12,0,12,12,10.833333333333334,12.0,4,1.0,12.0
11843,73,0,73,73,12.178082191780822,54.0,26,1.0,59.0
11844,78,0,72,78,11.474358974358974,62.0,15,1.0,40.0
11845,54,0,52,54,11.333333333333334,47.0,14,1.0,39.0
11846,31,0,29,31,11.451612903225806,30.0,7,1.0,24.0
11847,7,0,7,7,9.428571428571429,7.0,2,1.0,7.0
11848,50,0,49,50,11.34,49.0,28,1.0,34.0
11849,70,4,64,70,12.257142857142858,64.0,32,1.0,55.0
11850,61,0,61,61,11.131147540983607,56.0,27,1.0,49.0
11851,8,1,8,8,18.375,8.0,5,1.0,8.0
11852,54,0,54,54,12.166666666666666,48.0,28,1.0,38.0
11853,87,0,85,87,12.977011494252874,75.0,33,1.0,61.0
11855,53,0,53,53,11.169811320754716,51.0,11,1.0,46.0
11856,33,0,32,33,10.515151515151516,28.0,19,5.0,27.0
11857,8,0,8,8,8.5,8.0,5,1.0,7.0
11859,19,0,19,19,10.736842105263158,18.0,15,1.0,19.0
11860,3,0,3,3,7.333333333333333,3.0,1,1.0,3.0
11861,111,0,107,111,10.63963963963964,95.0,37,4.0,62.0
11862,23,0,22,23,14.173913043478262,23.0,10,1.0,21.0
11864,22,0,22,22,14.727272727272727,20.0,13,2.0,20.0
11865,3,0,3,3,15.666666666666666,3.0,3,1.0,3.0
11866,11,0,11,11,15.636363636363637,11.0,6,1.0,11.0
11867,87,0,87,87,10.471264367816092,72.0,42,1.0,55.0
11868,132,0,114,132,11.18939393939394,117.0,62,1.0,84.0
11869,23,0,23,23,10.304347826086957,23.0,12,1.0,21.0
11870,24,0,24,24,9.375,24.0,8,1.0,12.0
11871,46,0,45,46,10.391304347826088,38.0,16,1.0,36.0
11872,40,0,40,40,13.3,39.0,16,1.0,30.0
11873,13,0,13,13,12.538461538461538,13.0,6,1.0,13.0
11874,6,0,6,6,17.5,6.0,3,1.0,6.0
11875,14,0,14,14,10.357142857142858,14.0,2,1.0,12.0
11876,58,0,58,58,11.60344827586207,55.0,7,1.0,46.0
11877,27,0,27,27,12.37037037037037,26.0,12,1.0,24.0
11878,14,0,14,14,10.142857142857142,12.0,7,1.0,13.0
11879,61,0,58,61,9.918032786885245,57.0,31,1.0,38.0
11880,7,1,7,7,14.0,7.0,3,1.0,6.0
11881,14,0,14,14,12.285714285714286,14.0,4,1.0,11.0
11882,16,0,16,16,9.4375,16.0,6,1.0,15.0
11883,54,0,54,54,9.907407407407407,44.0,25,1.0,45.0
11884,13,0,13,13,14.076923076923077,13.0,11,1.0,12.0
11885,98,0,97,98,11.5,84.0,23,3.0,71.0
11886,26,0,26,26,11.153846153846153,24.0,9,1.0,24.0
11887,9,0,9,9,13.222222222222221,9.0,9,1.0,9.0
11888,32,0,32,32,10.78125,28.0,22,1.0,27.0
11889,29,0,29,29,16.20689655172414,28.0,19,2.0,26.0
11890,9,0,9,9,16.77777777777778,7.0,8,1.0,9.0
11891,76,0,76,76,10.289473684210526,61.0,38,1.0,64.0
11892,11,0,11,11,17.636363636363637,11.0,3,1.0,11.0
11893,43,0,43,43,10.325581395348838,38.0,16,1.0,36.0
11894,101,0,91,101,10.425742574257425,95.0,37,1.0,61.0
11895,7,0,6,7,10.857142857142858,7.0,6,1.0,3.0
11896,38,0,38,38,10.18421052631579,38.0,5,2.0,28.0
11897,51,1,49,51,11.647058823529411,47.0,22,1.0,41.0
11898,7,0,7,7,8.571428571428571,7.0,4,1.0,7.0
11899,92,0,91,92,11.08695652173913,86.0,55,1.0,64.0
11900,9,0,9,9,11.333333333333334,9.0,5,1.0,8.0
11901,106,0,104,106,10.556603773584905,94.0,9,2.0,54.0
11902,220,3,209,220,11.081818181818182,163.0,75,1.0,122.0
11903,19,0,19,19,9.421052631578947,17.0,4,1.0,13.0
11904,11,0,11,11,10.181818181818182,11.0,3,1.0,10.0
11905,18,0,18,18,12.666666666666666,17.0,12,1.0,18.0
11906,166,3,161,166,11.234939759036145,142.0,46,1.0,81.0
11907,37,0,37,37,9.891891891891891,33.0,6,1.0,32.0
11908,5,0,5,5,10.6,5.0,2,1.0,5.0
11909,19,0,19,19,10.0,17.0,3,1.0,18.0
11910,40,0,40,40,10.95,39.0,10,1.0,36.0
11911,2,0,2,2,15.0,2.0,0,1.0,2.0
11912,2,0,2,2,9.5,2.0,2,1.0,2.0
11913,19,0,18,19,9.210526315789474,18.0,8,1.0,16.0
11914,2,0,2,2,5.5,2.0,2,1.0,2.0
11916,8,0,8,8,7.875,8.0,3,1.0,8.0
11917,59,0,58,59,9.847457627118644,56.0,24,1.0,47.0
11918,8,2,7,8,8.25,8.0,5,1.0,7.0
11919,63,4,62,63,11.047619047619047,59.0,22,1.0,52.0
11920,8,0,8,8,14.625,8.0,2,1.0,7.0
11921,166,0,165,166,10.63855421686747,131.0,80,1.0,86.0
11922,5,0,5,5,12.0,5.0,0,1.0,5.0
11923,3,0,3,3,9.666666666666666,3.0,1,2.0,3.0
11925,1,0,1,1,19.0,1.0,0,1.0,1.0
11926,38,0,38,38,12.131578947368421,31.0,14,1.0,30.0
11927,95,0,93,95,10.263157894736842,77.0,35,1.0,61.0
11928,39,0,39,39,9.487179487179487,38.0,23,1.0,34.0
11929,58,0,57,58,10.155172413793103,54.0,32,1.0,45.0
11930,101,0,101,101,9.742574257425742,76.0,52,1.0,74.0
11931,11,0,11,11,12.545454545454545,11.0,3,1.0,11.0
11932,36,0,33,36,9.805555555555555,35.0,20,1.0,27.0
11933,47,0,47,47,10.74468085106383,40.0,36,1.0,39.0
11934,9,0,9,9,10.666666666666666,8.0,7,1.0,7.0
11935,9,0,9,9,12.222222222222221,8.0,3,1.0,9.0
11936,9,0,9,9,10.0,9.0,6,1.0,9.0
11937,82,0,82,82,11.402439024390244,62.0,57,1.0,60.0
11938,48,0,48,48,11.270833333333334,45.0,28,1.0,39.0
11939,88,0,88,88,12.386363636363637,74.0,16,1.0,58.0
11940,60,50,59,60,9.883333333333333,56.0,29,1.0,42.0
11941,30,0,29,30,11.7,29.0,16,2.0,23.0
11942,29,0,28,29,9.206896551724139,28.0,18,1.0,23.0
11943,72,0,72,72,11.027777777777779,64.0,33,1.0,46.0
11944,68,0,67,68,10.058823529411764,61.0,33,2.0,57.0
11945,4,0,4,4,20.5,4.0,0,1.0,4.0
11946,49,2,47,49,10.959183673469388,43.0,37,1.0,37.0
11947,5,0,5,5,22.2,5.0,3,1.0,4.0
11948,56,0,56,56,12.125,53.0,30,1.0,43.0
11949,61,0,58,61,11.60655737704918,58.0,13,1.0,44.0
11950,40,0,40,40,9.225,35.0,18,1.0,34.0
11951,63,0,63,63,11.793650793650794,56.0,26,1.0,50.0
11952,9,0,9,9,13.666666666666666,8.0,4,1.0,9.0
11953,30,0,28,30,10.533333333333333,30.0,13,1.0,23.0
11954,6,0,6,6,8.666666666666666,6.0,0,1.0,5.0
11955,173,1,157,173,10.728323699421965,145.0,60,1.0,87.0
11956,48,0,48,48,10.395833333333334,43.0,23,1.0,42.0
11957,129,0,127,129,10.953488372093023,110.0,39,1.0,77.0
11958,4,0,4,4,9.25,4.0,1,1.0,4.0
11959,59,0,53,59,12.796610169491526,50.0,25,1.0,35.0
11960,58,0,57,58,11.431034482758621,55.0,21,1.0,48.0
11961,52,1,49,52,11.423076923076923,51.0,39,1.0,41.0
11962,5,0,5,5,10.6,5.0,1,1.0,5.0
11963,30,0,30,30,12.133333333333333,29.0,17,1.0,24.0
11964,25,0,25,25,11.48,25.0,11,1.0,24.0
11965,36,0,35,36,9.444444444444445,36.0,20,1.0,32.0
11966,62,0,58,62,10.32258064516129,58.0,23,1.0,46.0
11967,7,0,7,7,11.857142857142858,7.0,5,1.0,7.0
11968,98,3,83,98,11.39795918367347,54.0,22,2.0,65.0
11969,30,1,29,30,10.233333333333333,27.0,23,1.0,20.0
11970,28,0,25,28,13.535714285714286,25.0,15,1.0,20.0
11971,17,0,17,17,8.823529411764707,17.0,9,1.0,16.0
11972,284,1,267,284,11.151408450704226,247.0,52,1.0,133.0
11973,7,0,7,7,10.857142857142858,7.0,4,1.0,7.0
11974,14,2,14,14,12.0,14.0,8,2.0,12.0
11975,69,0,69,69,10.101449275362318,56.0,32,1.0,51.0
11976,39,2,38,39,12.743589743589743,36.0,30,1.0,31.0
11977,8,0,8,8,9.125,7.0,5,1.0,7.0
11978,3,0,3,3,8.666666666666666,3.0,3,1.0,3.0
11979,21,0,21,21,9.857142857142858,21.0,13,1.0,17.0
11980,11,0,11,11,11.090909090909092,11.0,2,1.0,11.0
11981,23,0,23,23,10.217391304347826,22.0,16,1.0,19.0
11982,111,0,102,111,11.513513513513514,105.0,51,2.0,66.0
11983,6,0,6,6,9.0,5.0,4,1.0,6.0
11984,9,0,9,9,9.555555555555555,9.0,6,1.0,6.0
11985,4,0,4,4,8.75,4.0,2,1.0,3.0
11986,78,0,74,78,11.435897435897436,72.0,31,2.0,55.0
11988,96,14,96,96,10.8125,72.0,54,1.0,66.0
11989,24,1,23,24,12.5,21.0,10,1.0,22.0
11990,4,0,4,4,11.25,4.0,4,1.0,4.0
11992,28,0,28,28,13.5,28.0,6,1.0,24.0
11993,66,1,65,66,10.090909090909092,54.0,16,2.0,50.0
11994,23,0,23,23,12.304347826086957,23.0,16,1.0,17.0
11995,4,0,4,4,8.0,4.0,2,1.0,4.0
11996,46,0,44,46,10.043478260869565,39.0,38,1.0,35.0
11997,16,1,16,16,9.8125,14.0,9,1.0,16.0
11998,126,0,119,126,10.515873015873016,105.0,60,2.0,78.0
11999,8,0,8,8,9.125,8.0,1,1.0,8.0
12000,19,0,19,19,10.210526315789474,18.0,7,1.0,17.0
12001,47,0,45,47,9.914893617021276,42.0,7,1.0,39.0
12002,12,0,10,12,8.166666666666666,12.0,3,1.0,10.0
12003,30,0,29,30,10.733333333333333,27.0,18,1.0,25.0
12004,83,1,77,83,9.325301204819278,68.0,27,1.0,56.0
12005,18,0,18,18,10.777777777777779,18.0,6,1.0,17.0
12006,3,0,3,3,16.0,3.0,3,1.0,3.0
12007,34,0,34,34,10.647058823529411,33.0,15,1.0,31.0
12008,22,0,22,22,8.909090909090908,20.0,4,1.0,18.0
12009,17,0,16,17,8.764705882352942,17.0,3,1.0,15.0
12010,45,0,45,45,11.222222222222221,42.0,23,1.0,38.0
12011,10,1,10,10,15.6,10.0,2,1.0,9.0
12012,15,0,14,15,9.4,14.0,9,1.0,12.0
12013,1,0,1,1,9.0,1.0,1,1.0,1.0
12014,102,0,101,102,10.911764705882353,87.0,25,1.0,64.0
12016,62,0,60,62,13.161290322580646,56.0,17,2.0,49.0
12017,20,0,20,20,10.75,18.0,4,1.0,17.0
12018,12,0,12,12,10.25,12.0,7,1.0,12.0
12019,130,0,127,130,11.346153846153847,99.0,22,1.0,85.0
12020,65,0,65,65,10.8,61.0,12,1.0,52.0
12021,22,0,22,22,10.954545454545455,19.0,11,1.0,19.0
12022,16,0,16,16,10.75,16.0,7,1.0,14.0
12023,29,0,26,29,10.793103448275861,27.0,17,1.0,15.0
12024,57,0,57,57,11.421052631578947,51.0,24,4.0,46.0
12025,27,0,25,27,12.074074074074074,27.0,4,2.0,16.0
12026,17,0,17,17,11.823529411764707,13.0,3,1.0,14.0
12027,12,0,12,12,9.25,11.0,5,1.0,11.0
12028,61,1,61,61,11.229508196721312,54.0,9,1.0,35.0
12029,11,0,11,11,12.454545454545455,11.0,6,1.0,10.0
12030,32,1,31,32,12.3125,31.0,22,1.0,26.0
12031,30,0,29,30,11.833333333333334,29.0,10,1.0,24.0
12032,2,0,2,2,6.0,2.0,2,1.0,2.0
12033,52,2,52,52,9.903846153846153,50.0,27,1.0,41.0
12034,93,0,86,93,10.21505376344086,76.0,10,1.0,50.0
12035,24,0,24,24,12.041666666666666,24.0,19,1.0,19.0
12036,70,0,65,70,10.928571428571429,67.0,38,1.0,40.0
12037,17,0,17,17,10.588235294117647,16.0,12,5.0,17.0
12038,166,2,162,166,11.590361445783133,115.0,49,1.0,97.0
12039,33,0,30,33,11.484848484848484,32.0,9,1.0,27.0
12040,1,0,1,1,7.0,1.0,0,1.0,1.0
12041,23,0,23,23,11.173913043478262,22.0,5,1.0,18.0
12042,37,0,36,37,10.837837837837839,36.0,12,1.0,30.0
12043,56,0,55,56,11.446428571428571,51.0,8,1.0,40.0
12044,9,0,9,9,9.333333333333334,9.0,2,1.0,9.0
12045,68,0,67,68,10.397058823529411,61.0,17,1.0,53.0
12046,84,0,83,84,11.071428571428571,77.0,34,1.0,59.0
12047,18,0,18,18,14.333333333333334,17.0,15,1.0,16.0
12048,3,0,3,3,11.333333333333334,3.0,0,1.0,3.0
12049,26,0,24,26,12.192307692307692,25.0,16,1.0,21.0
12050,54,0,53,54,10.722222222222221,48.0,16,1.0,40.0
12051,1,0,1,1,9.0,1.0,0,1.0,1.0
12052,80,0,78,80,11.125,78.0,35,1.0,56.0
12053,63,0,63,63,11.142857142857142,59.0,41,1.0,49.0
12054,5,0,5,5,11.4,5.0,4,2.0,5.0
12055,21,0,21,21,8.904761904761905,20.0,6,1.0,17.0
12056,25,0,25,25,13.28,25.0,9,1.0,20.0
12057,59,0,58,59,10.677966101694915,57.0,40,1.0,50.0
12058,30,0,29,30,11.366666666666667,30.0,23,2.0,22.0
12060,148,0,144,148,10.371621621621621,117.0,56,1.0,81.0
12061,40,0,39,40,12.4,34.0,24,1.0,35.0
12062,8,0,8,8,10.5,8.0,4,1.0,5.0
12063,31,0,30,31,13.0,23.0,6,1.0,27.0
12064,70,0,67,70,12.67142857142857,56.0,41,1.0,52.0
12065,2,0,2,2,7.5,2.0,2,1.0,2.0
12066,214,0,210,214,12.593457943925234,145.0,61,1.0,91.0
12067,7,0,7,7,10.857142857142858,7.0,3,1.0,7.0
12068,50,0,43,50,10.56,47.0,31,1.0,34.0
12069,39,0,39,39,12.435897435897436,37.0,21,1.0,18.0
12070,3,0,3,3,7.0,3.0,0,1.0,3.0
12071,6,0,6,6,12.833333333333334,6.0,4,1.0,6.0
12072,38,5,37,38,11.5,36.0,16,1.0,22.0
12073,69,0,69,69,10.971014492753623,56.0,37,1.0,54.0
12074,16,1,16,16,10.1875,16.0,1,1.0,14.0
12075,5,0,5,5,7.6,5.0,5,1.0,5.0
12076,42,0,41,42,10.523809523809524,40.0,28,1.0,34.0
12077,11,0,11,11,10.272727272727273,10.0,5,1.0,9.0
12078,121,0,120,121,10.669421487603305,110.0,16,1.0,76.0
12079,7,4,7,7,14.0,7.0,4,1.0,5.0
12080,90,0,90,90,10.666666666666666,75.0,40,1.0,66.0
12081,41,0,40,41,9.853658536585366,37.0,32,1.0,35.0
12082,46,2,45,46,10.717391304347826,42.0,24,1.0,34.0
12083,12,0,11,12,10.166666666666666,12.0,9,1.0,10.0
12084,49,0,46,49,11.53061224489796,45.0,16,1.0,38.0
12085,32,0,32,32,13.25,28.0,11,1.0,27.0
12086,41,0,41,41,10.24390243902439,37.0,26,1.0,27.0
12087,62,2,62,62,10.451612903225806,57.0,26,2.0,49.0
12088,60,0,56,60,11.183333333333334,50.0,4,3.0,40.0
12089,4,0,4,4,9.5,4.0,3,1.0,4.0
12090,12,0,11,12,15.833333333333334,12.0,6,1.0,8.0
12091,160,0,144,160,12.59375,148.0,59,1.0,75.0
12092,49,0,47,49,11.122448979591837,44.0,28,2.0,35.0
12093,31,0,31,31,8.419354838709678,29.0,17,1.0,28.0
12094,14,0,14,14,11.5,14.0,8,1.0,12.0
12095,5,0,5,5,14.8,5.0,4,1.0,5.0
12096,35,4,35,35,11.257142857142858,34.0,15,1.0,31.0
12097,88,0,87,88,11.795454545454545,85.0,34,1.0,70.0
12098,42,0,42,42,12.261904761904763,38.0,11,2.0,39.0
12099,42,0,42,42,13.452380952380953,38.0,8,1.0,34.0
12100,45,0,45,45,11.28888888888889,42.0,34,1.0,37.0
12101,18,0,18,18,13.666666666666666,17.0,7,1.0,16.0
12102,319,0,305,319,10.818181818181818,243.0,62,1.0,123.0
12103,41,0,40,41,10.341463414634147,34.0,22,1.0,34.0
12104,25,0,25,25,11.68,23.0,14,1.0,20.0
12105,11,0,11,11,11.909090909090908,9.0,7,1.0,9.0
12106,28,0,27,28,11.678571428571429,26.0,11,2.0,25.0
12107,45,0,45,45,11.311111111111112,44.0,24,1.0,38.0
12108,35,2,35,35,12.4,34.0,18,2.0,33.0
12109,13,0,13,13,10.461538461538462,12.0,9,1.0,12.0
12110,82,0,82,82,11.914634146341463,72.0,59,1.0,55.0
12111,18,10,18,18,11.833333333333334,18.0,10,1.0,16.0
12112,13,0,13,13,12.0,13.0,6,1.0,12.0
12113,37,0,37,37,12.891891891891891,32.0,17,1.0,31.0
12114,9,0,9,9,10.444444444444445,9.0,5,1.0,8.0
12115,21,0,19,21,11.80952380952381,21.0,6,1.0,17.0
12116,11,0,11,11,11.181818181818182,11.0,4,1.0,11.0
12117,48,0,42,48,11.604166666666666,43.0,22,3.0,36.0
12118,21,0,21,21,9.095238095238095,21.0,7,1.0,16.0
12119,5,1,5,5,16.6,5.0,4,1.0,5.0
12120,86,0,85,86,11.174418604651162,80.0,36,1.0,66.0
12121,58,0,58,58,11.362068965517242,53.0,29,1.0,39.0
12122,9,0,9,9,11.222222222222221,8.0,5,1.0,8.0
12123,29,0,29,29,10.344827586206897,27.0,14,1.0,26.0
12124,157,0,145,157,10.477707006369426,133.0,56,1.0,91.0
12125,58,0,56,58,12.53448275862069,50.0,9,1.0,45.0
12126,23,0,22,23,12.08695652173913,23.0,20,1.0,20.0
12127,282,0,271,282,11.039007092198581,221.0,118,6.0,167.0
12128,17,0,17,17,9.352941176470589,17.0,5,1.0,17.0
12129,39,0,37,39,9.64102564102564,38.0,5,1.0,34.0
12130,15,0,15,15,11.466666666666667,15.0,5,2.0,15.0
12131,23,0,21,23,14.826086956521738,22.0,7,1.0,18.0
12132,9,0,9,9,12.333333333333334,9.0,2,1.0,8.0
12133,37,1,37,37,11.378378378378379,37.0,20,1.0,28.0
12134,49,0,49,49,11.285714285714286,47.0,20,1.0,35.0
12135,39,0,37,39,10.897435897435898,36.0,13,1.0,29.0
12136,21,0,21,21,8.952380952380953,21.0,16,1.0,17.0
12137,6,0,6,6,20.166666666666668,6.0,5,2.0,6.0
12138,51,0,50,51,11.803921568627452,46.0,25,1.0,46.0
12139,83,0,83,83,10.843373493975903,70.0,16,1.0,62.0
12140,74,1,74,74,11.837837837837839,67.0,25,1.0,54.0
12141,117,0,107,117,12.350427350427351,103.0,40,1.0,85.0
12142,21,0,19,21,9.857142857142858,21.0,17,1.0,19.0
12144,70,0,68,70,11.2,65.0,58,1.0,40.0
12145,30,0,30,30,10.633333333333333,27.0,16,1.0,26.0
12146,60,0,56,60,10.533333333333333,53.0,45,1.0,42.0
12147,83,0,79,83,10.397590361445783,66.0,37,1.0,59.0
12148,43,0,42,43,11.116279069767442,39.0,10,1.0,29.0
12149,33,0,32,33,9.878787878787879,30.0,6,1.0,26.0
12150,87,2,84,87,12.436781609195402,80.0,31,2.0,60.0
12151,45,2,45,45,9.777777777777779,41.0,18,1.0,34.0
12152,32,0,32,32,8.5,29.0,21,1.0,27.0
12153,17,0,17,17,9.529411764705882,14.0,3,1.0,14.0
12154,7,0,7,7,9.857142857142858,7.0,3,1.0,5.0
12155,62,0,62,62,11.03225806451613,55.0,29,1.0,48.0
12156,33,0,33,33,11.121212121212121,31.0,19,2.0,27.0
12157,65,0,59,65,10.123076923076923,62.0,11,2.0,44.0
12158,157,0,144,157,11.101910828025478,145.0,16,1.0,99.0
12159,66,0,65,66,11.363636363636363,61.0,32,2.0,53.0
12160,13,0,13,13,9.76923076923077,13.0,11,1.0,11.0
12161,85,0,85,85,11.294117647058824,68.0,37,1.0,62.0
12162,58,0,57,58,9.931034482758621,50.0,27,1.0,42.0
12163,7,0,7,7,8.142857142857142,7.0,4,1.0,7.0
12164,174,0,174,174,11.350574712643677,127.0,10,1.0,114.0
12165,20,0,20,20,9.15,18.0,4,1.0,17.0
12166,25,0,25,25,12.6,23.0,13,1.0,19.0
12167,11,0,11,11,12.727272727272727,11.0,7,1.0,11.0
12168,7,0,7,7,11.285714285714286,7.0,1,1.0,6.0
12169,20,0,20,20,11.2,19.0,6,1.0,19.0
12170,37,0,37,37,12.45945945945946,36.0,14,1.0,35.0
12171,18,0,18,18,10.277777777777779,18.0,5,1.0,15.0
12172,32,1,31,32,11.34375,31.0,11,1.0,29.0
12173,125,1,118,125,11.04,114.0,37,2.0,63.0
